company_id,company_name,website,face_value,book_value,roe,roce,latest_profit_year,latest_sales,operating_profit,net_profit,eps,dividend,latest_balance_year,equity_capital,reserves,borrowings,total_assets,total_liabilities,latest_cashflow_year,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_cash_flow,sales_growth,profit_growth,stock_cagr,analysis_roe
ABB,Abbott India Ltd,https://www.abbott.co.in/,10.0,1657.0,34.9,46.0,TTM,6066.0,1547.0,1285.0,605.0,,Sep 2024,21.0,3500.0,60.0,5063.0,5063.0,Mar 2024,6038.0,-4943.0,-543.0,551.0,,,,
ADANIENSOL,Adani Energy Solutions Ltd,https://www.adanienergysolutions.com/,10.0,175.0,8.59,9.0,TTM,22099.0,6592.0,589.0,6.0,,Sep 2024,1201.0,19784.0,39009.0,69107.0,69107.0,Mar 2024,6038.0,-4943.0,-543.0,551.0,,,,
ADANIENT,Adani Enterprises Ltd,https://www.adanienterprises.com/,1.0,363.0,13.64,11.6,TTM,102311.0,13893.0,6086.0,49.0,,Sep 2024,114.0,41782.0,80427.0,181768.0,181768.0,Mar 2024,10312.0,-18767.0,8879.0,424.0,,,,
ADANIGREEN,Adani Green Energy Ltd,http://www.adanigreenenergy.com/,10.0,67.0,14.7,96.5,TTM,10782.0,8100.0,1928.0,9.0,0.0,Sep 2024,1584.0,8992.0,67430.0,98258.0,98258.0,Mar 2024,7713.0,-21060.0,13953.0,606.0,,,,
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",http://www.adaniports.com/,2.0,265.0,18.1,12.9,TTM,28443.0,17165.0,9743.0,45.0,,Sep 2024,432.0,56744.0,50485.0,126015.0,126015.0,Mar 2024,15018.0,-6768.0,-7800.0,450.0,,,,
ADANIPOWER,Adani Power Ltd,http://www.adani.com/,10.0,145.0,57.1,32.2,TTM,54650.0,20965.0,12686.0,33.0,,Sep 2024,3857.0,52097.0,37705.0,110784.0,110784.0,Mar 2024,14170.0,3481.0,-16864.0,787.0,,,,
ATGL,Adani Total Gas Ltd,http://www.adanigas.com/,1.0,36.0,20.5,21.2,TTM,4826.0,1153.0,668.0,6.0,,Sep 2024,110.0,3801.0,1457.0,6842.0,6842.0,,,,,,,,,
AMBUJACEM,Ambuja Cements Ltd,https://www.ambujacement.com/,2.0,205.0,9.24,12.8,TTM,32850.0,5822.0,3871.0,13.0,,Sep 2024,493.0,49883.0,779.0,76572.0,76572.0,Mar 2024,5646.0,-8941.0,5689.0,2394.0,,,,
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",https://www.apollohospitals.com/,5.0,522.0,13.81,17.2,TTM,20469.0,2745.0,1224.0,82.0,,Sep 2024,72.0,7429.0,7371.0,19548.0,19548.0,Mar 2024,1920.0,-1537.0,-311.0,72.0,,,,
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://www.asianpaints.com/,1.0,188.0,31.45,41.75,TTM,34831.0,6681.0,4631.0,48.0,,Sep 2024,96.0,17928.0,2516.0,29474.0,29474.0,Mar 2024,6104.0,-2548.0,-2982.0,573.0,,,,
DMART,Avenue Supermarts Ltd,http://www.dmartindia.com/,10.0,309.0,14.5,19.4,TTM,57213.0,4476.0,2720.0,42.0,,Sep 2024,651.0,19487.0,713.0,23040.0,23040.0,Mar 2024,2746.0,-2468.0,-148.0,130.0,,,,
AXISBANK,Axis Bank Ltd,http://www.axisbank.com/,2.0,509.0,18.4,7.06,TTM,120659.0,44566.0,26386.0,85.0,,Mar 2024,617.0,156406.0,1295302.0,1518239.0,1518239.0,Mar 2024,-5555.0,-9001.0,22341.0,7785.0,,,,
BAJAJ-AUTO,Bajaj Auto Ltd,https://www.bajajauto.com/,10.0,1109.0,26.5,33.5,TTM,48900.0,9143.0,7371.0,263.0,,Sep 2024,279.0,30700.0,5245.0,45842.0,45842.0,Mar 2024,6558.0,-72.0,-6167.0,319.0,,,,
BAJFINANCE,Bajaj Finance Ltd,https://www.bajajfinserv.in/,2.0,1402.0,22.1,11.9,TTM,62279.0,18943.0,15389.0,248.0,,Sep 2024,124.0,86679.0,324218.0,420656.0,420656.0,Mar 2024,-72760.0,-7171.0,82415.0,2484.0,,,,
BAJAJFINSV,Bajaj Finserv Ltd,https://www.bajajfinserv.in/,1.0,428.0,11.72,21.14,TTM,126263.0,45479.0,16520.0,53.0,,Sep 2024,160.0,68165.0,318675.0,601195.0,601195.0,Mar 2024,-68674.0,-10960.0,82709.0,3075.0,,,,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,https://www.bhil.in/,10.0,5375.0,14.8,13.1,TTM,1733.0,1554.0,7486.0,666.0,,Sep 2024,111.0,59712.0,47.0,72533.0,72533.0,Mar 2024,1941.0,-472.0,-1455.0,14.0,,,,
BANKBARODA,Bank of Baroda,http://www.bankofbaroda.co.in/,2.0,231.0,16.7,6.33,TTM,124144.0,46459.0,20144.0,39.0,,Mar 2024,1036.0,118677.0,1453761.0,1654775.0,1654775.0,Mar 2024,-6274.0,-1285.0,5476.0,-2084.0,,,,
BEL,Bharat Electronics Ltd,http://www.bel-india.in/,1.0,24.0,26.3,34.6,TTM,21575.0,5708.0,4541.0,6.0,,Sep 2024,11.0,80.0,78.0,225.0,225.0,Mar 2024,4659.0,-5924.0,-1475.0,-2739.0,,,,
BHEL,"Bharat Heavy Electricals Limited
",https://www.bhel.com/,2.0,70.0,1.05,3.28,TTM,25833.0,1050.0,445.0,1.0,,Sep 2024,696.0,23503.0,9128.0,61793.0,61793.0,Mar 2024,-3713.0,1331.0,2656.0,274.0,,,,
BPCL,Bharat Petroleum Corporation Ltd,https://www.bharatpetroleum.in/,10.0,178.0,41.9,32.1,TTM,445601.0,26554.0,13734.0,32.0,,Sep 2024,4273.0,72835.0,58880.0,211226.0,211226.0,Mar 2024,35936.0,-10521.0,-25427.0,-12.0,,,,
BHARTIARTL,Bharti Airtel Ltd,http://www.airtel.in/,5.0,153.0,14.9,13.1,TTM,155478.0,80733.0,13816.0,22.0,,Sep 2024,2896.0,84202.0,225541.0,460982.0,460982.0,Mar 2024,78898.0,-51089.0,-27778.0,31.0,,,,
BOSCHLTD,Bosch Ltd,https://www.bosch.in/,10.0,4319.0,16.0,20.6,TTM,17150.0,2216.0,2084.0,707.0,,Sep 2024,30.0,12708.0,31.0,18521.0,18521.0,Mar 2024,1253.0,283.0,-1452.0,84.0,,,,
BRITANNIA,Britannia Industries Ltd,https://www.britannia.co.in/,1.0,133.0,57.1,48.9,TTM,17244.0,3136.0,2129.0,89.0,,Sep 2024,24.0,3186.0,2754.0,9467.0,9467.0,Mar 2024,2573.0,477.0,-2830.0,219.0,,,,
CANBK,Canara Bank,http://www.canarabank.com/,2.0,102.0,17.9,6.63,TTM,119392.0,48026.0,16571.0,18.0,,Mar 2024,1814.0,90319.0,1369780.0,1535018.0,1535018.0,Mar 2024,15046.0,-1750.0,-3834.0,9462.0,,,,
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,https://www.cholamandalam.com/,2.0,255.0,20.2,10.4,TTM,22502.0,6452.0,3852.0,46.0,,Sep 2024,168.0,21243.0,157943.0,181945.0,181945.0,Mar 2024,-35683.0,-2855.0,38471.0,-66.0,,,,
CIPLA,"Cipla Ltd
",https://www.cipla.com/,2.0,351.0,16.8,22.8,TTM,26981.0,20075.0,4987.0,62.0,,Sep 2024,162.0,28201.0,461.0,34655.0,34655.0,Mar 2024,4134.0,-2982.0,-1200.0,-49.0,,,,
COALINDIA,Coal India Ltd,http://www.coalindia.in/,10.0,156.0,52.0,63.6,TTM,140328.0,93717.0,34350.0,56.0,,Sep 2024,6163.0,90034.0,7816.0,249359.0,249359.0,Mar 2024,18103.0,-4486.0,-13899.0,-282.0,,,,
DLF,DLF Ltd,https://www.dlf.in/,2.0,163.0,6.95,5.74,TTM,7001.0,1885.0,4004.0,16.0,,Sep 2024,495.0,39732.0,4290.0,62579.0,62579.0,Mar 2024,2539.0,-1529.0,177.0,1186.0,,,,
DABUR,Dabur India Ltd,http://www.dabur.com/,1.0,59.0,19.2,22.3,TTM,12447.0,2341.0,1760.0,10.0,,Sep 2024,177.0,10185.0,1752.0,16373.0,16373.0,Mar 2024,2013.0,-971.0,-1161.0,-119.0,,,,
DIVISLAB,Divis Laboratories Ltd,https://www.divislaboratories.com/lander,2.0,517.0,12.2,16.5,TTM,8614.0,2558.0,1836.0,69.0,,Sep 2024,53.0,13664.0,8.0,15586.0,15586.0,Mar 2024,1261.0,-269.0,-799.0,193.0,,,,
DRREDDY,Dr Reddys Laboratories Ltd,https://www.drreddys.com/,1.0,369.0,21.4,26.5,TTM,31229.0,8311.0,5448.0,64.0,,Sep 2024,83.0,30666.0,4854.0,46728.0,46728.0,Mar 2024,4543.0,-4034.0,-376.0,133.0,,,,
EICHERMOT,Eicher Motors Ltd,https://www.eicher.in/,1.0,693.0,24.2,31.1,TTM,17091.0,4472.0,4268.0,156.0,,Sep 2024,27.0,18952.0,404.0,24380.0,24380.0,Mar 2024,3724.0,-2834.0,-844.0,45.0,,,,
GAIL,GAIL (India) Ltd,https://gailonline.com/,10.0,127.0,14.0,14.7,TTM,136081.0,16784.0,11541.0,18.0,,Sep 2024,6575.0,77234.0,19632.0,128989.0,128989.0,Mar 2024,12586.0,-8226.0,-3457.0,902.0,,,,
GODREJCP,Godrej Consumer Products Ltd,https://www.godrejcp.com/,1.0,119.0,6.77,26.49,TTM,14152.0,2996.0,-453.0,-4.0,,Sep 2024,102.0,12068.0,3828.0,18984.0,18984.0,Mar 2024,2070.0,-3435.0,1406.0,41.0,,,,
GRASIM,Grasim Industries Ltd,https://www.grasim.com/,2.0,1411.0,6.9,9.3,TTM,137116.0,27506.0,8693.0,67.0,,Sep 2024,134.0,92784.0,158159.0,448454.0,448454.0,Mar 2024,-10719.0,-23114.0,33908.0,75.0,,,,
HCLTECH,HCL Technologies Ltd,https://www.hcltech.com/,2.0,254.0,23.3,29.6,TTM,115308.0,25139.0,17085.0,63.0,,Sep 2024,543.0,68332.0,5791.0,99763.0,99763.0,Mar 2024,22448.0,-6608.0,-15464.0,376.0,,,,
HDFCBANK,HDFC Bank Ltd,http://www.hdfcbank.com/,1.0,601.0,17.1,7.67,TTM,329022.0,206009.0,72168.0,91.0,,Mar 2024,760.0,455636.0,3107503.0,4030194.0,4030194.0,Mar 2024,19069.0,16600.0,-3983.0,31687.0,TTM:            47%,TTM:                27%,,Last Year:    17%
HDFCLIFE,HDFC Life Insurance Company Ltd,http://www.hdfclife.com/,10.0,73.0,11.4,6.61,TTM,100772.0,100048.0,1747.0,8.0,,Sep 2024,2152.0,13452.0,950.0,336755.0,336755.0,Mar 2024,10721.0,-13614.0,-403.0,-3296.0,,,,
HAVELLS,Havells India Ltd,https://havells.com/,1.0,124.0,18.0,24.4,TTM,20677.0,2008.0,1400.0,22.0,,Sep 2024,63.0,7731.0,332.0,12843.0,12843.0,Mar 2024,1953.0,-1618.0,-534.0,-199.0,,,,
HEROMOTOCO,"Hero MotoCorp Ltd
",http://www.heromotocorp.com/,2.0,951.0,22.0,29.1,TTM,40098.0,34537.0,4133.0,207.0,,Sep 2024,40.0,18971.0,588.0,29261.0,29261.0,Mar 2024,4923.0,-1828.0,-2717.0,379.0,,,,
HINDALCO,Hindalco Industries Ltd,http://www.hindalco.com/,1.0,153.0,10.2,11.3,TTM,224018.0,196087.0,12488.0,56.0,,Sep 2024,222.0,114954.0,60959.0,252264.0,252264.0,Mar 2024,24056.0,-14267.0,-10817.0,-1028.0,,,,
HAL,Hindustan Aeronautics Ltd,https://hal-india.co.in/,5.0,465.0,28.9,38.9,TTM,31154.0,9954.0,8472.0,127.0,,Sep 2024,5.0,202.0,124.0,476.0,476.0,Mar 2024,8226.0,-6412.0,-1999.0,-185.0,,,,
HINDUNILVR,"Hindustan Unilever Ltd
",http://www.hul.co.in/,1.0,216.0,20.2,27.2,TTM,62661.0,47902.0,10757.0,46.0,,Sep 2024,235.0,50541.0,1651.0,80765.0,80765.0,Mar 2024,15469.0,-5324.0,-10034.0,111.0,,,,
ICICIBANK,ICICI Bank Ltd,http://www.icicibank.com/,2.0,365.0,18.8,7.6,TTM,180551.0,125722.0,52416.0,70.0,,Mar 2024,1405.0,254739.0,1651008.0,2364063.0,2364063.0,Mar 2024,157284.0,-144737.0,13765.0,26312.0,,,,
ICICIGI,ICICI Lombard General Insurance Company Ltd,http://www.icicilombard.com/,10.0,275.0,17.0,22.5,TTM,23301.0,19938.0,2518.0,51.0,,Sep 2024,495.0,13130.0,0.0,68014.0,68014.0,Mar 2024,2407.0,-1921.0,-355.0,131.0,,,,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,https://www.iciciprulife.com/,10.0,80.0,8.07,8.75,TTM,77572.0,77251.0,974.0,7.0,,Sep 2024,1444.0,10130.0,0.0,326838.0,326838.0,Mar 2024,-7315.0,7420.0,-88.0,17.0,,,,
ITC,"ITC Ltd
",https://www.itcportal.com/,1.0,60.0,29.47,34.76,TTM,75135.0,26640.0,20829.0,16.0,,Sep 2024,1251.0,74015.0,304.0,94071.0,94071.0,Mar 2024,17179.0,1563.0,-18551.0,191.0,,,,
IOC,"Indian Oil Corporation
",https://www.iocl.com/,10.0,129.0,25.44,21.31,TTM,761485.0,32930.0,10909.0,8.0,,Sep 2024,13772.0,167594.0,163401.0,510310.0,510310.0,Mar 2024,71099.0,-31464.0,-39385.0,250.0,,,,
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,http://www.irctc.com/,2.0,44.0,40.4,53.8,TTM,4455.0,1505.0,1200.0,15.0,,Sep 2024,160.0,3363.0,42.0,6800.0,6800.0,Mar 2024,882.0,-215.0,-404.0,262.0,,,,
IRFC,Indian Railway Finance Corporation Ltd,https://irfc.co.in/,10.0,39.0,13.7,5.73,TTM,26902.0,26758.0,6537.0,5.0,,Sep 2024,13069.0,38396.0,403111.0,494348.0,494348.0,Mar 2024,7914.0,-8.0,-8046.0,-140.0,,,,
