company_id,year,capital_allocation,free_cash_flow,fcf_conversion,capex_intensity
ABB,Mar 2014,Unknown,0.0,0.0,0.0
ABB,Mar 2015,Growth Funded by Debt,-1899.0,-608.65,81.43
ABB,Mar 2016,Shareholder Returns,728.0,199.45,31.22
ABB,Mar 2017,Shareholder Returns,459.0,115.33,59.59
ABB,Mar 2018,Mixed,-994.0,-189.33,96.79
ABB,Mar 2019,Mixed,-459.0,-75.87,82.9
ABB,Mar 2020,Mixed,-206.0,-27.21,137.87
ABB,Mar 2021,Shareholder Returns,-225.0,-24.4,93.02
ABB,Mar 2022,Shareholder Returns,161.0,14.88,80.11
ABB,Mar 2023,Mixed,-922.0,-76.45,87.85
ABB,Mar 2024,Shareholder Returns,1095.0,75.36,84.51
ADANIENSOL,Mar 2015,Growth Funded by Debt,-1899.0,-1880.2,1422.9
ADANIENSOL,Mar 2016,Shareholder Returns,728.0,37.78,37.19
ADANIENSOL,Mar 2017,Shareholder Returns,459.0,23.15,60.15
ADANIENSOL,Mar 2018,Mixed,-994.0,-35.17,80.93
ADANIENSOL,Mar 2019,Mixed,-459.0,-16.52,41.75
ADANIENSOL,Mar 2020,Mixed,-206.0,-4.84,49.43
ADANIENSOL,Mar 2021,Shareholder Returns,-225.0,-5.7,40.39
ADANIENSOL,Mar 2022,Shareholder Returns,161.0,3.83,34.96
ADANIENSOL,Mar 2023,Mixed,-922.0,-20.41,35.35
ADANIENSOL,Mar 2024,Shareholder Returns,1095.0,19.17,29.76
ADANIENT,Mar 2013,Mixed,-7124.0,-118.32,31.89
ADANIENT,Mar 2014,Shareholder Returns,221.0,2.36,14.57
ADANIENT,Mar 2015,Mixed,-2933.0,-23.56,17.78
ADANIENT,Mar 2016,Shareholder Returns,3287.0,195.19,5.37
ADANIENT,Mar 2017,Mixed,-686.0,-36.07,4.0
ADANIENT,Mar 2018,Mixed,-4707.0,-230.96,21.29
ADANIENT,Mar 2019,Liquidating Assets,5723.0,290.66,6.16
ADANIENT,Mar 2020,Shareholder Returns,1372.0,59.81,2.49
ADANIENT,Mar 2021,Mixed,-4568.0,-182.28,21.78
ADANIENT,Mar 2022,Mixed,-15656.0,-421.54,24.55
ADANIENT,Mar 2023,Shareholder Returns,2167.0,24.57,12.12
ADANIENT,Mar 2024,Mixed,-8455.0,-74.32,19.46
ADANIGREEN,Mar 2017,Mixed,-1483.0,-367.99,301.0
ADANIGREEN,Mar 2018,Mixed,-3779.0,-448.28,299.19
ADANIGREEN,Mar 2019,Mixed,-1041.0,-68.22,129.54
ADANIGREEN,Mar 2020,Mixed,-1778.0,-122.62,146.84
ADANIGREEN,Mar 2021,Mixed,-7536.0,-336.28,292.48
ADANIGREEN,Mar 2022,Mixed,-15603.0,-444.28,364.89
ADANIGREEN,Mar 2023,Reinvestor,3408.0,68.57,49.6
ADANIGREEN,Mar 2024,Mixed,-13347.0,-182.39,228.42
ADANIPORTS,Mar 2013,Mixed,-3757.0,-157.72,143.58
ADANIPORTS,Mar 2014,Mixed,-1378.0,-47.21,51.97
ADANIPORTS,Mar 2015,Shareholder Returns,572.0,14.66,40.39
ADANIPORTS,Mar 2016,Mixed,-1772.0,-38.72,58.42
ADANIPORTS,Mar 2017,Shareholder Returns,1434.0,26.47,31.15
ADANIPORTS,Mar 2018,Shareholder Returns,1762.0,24.62,33.97
ADANIPORTS,Mar 2019,Mixed,1661.0,25.18,39.98
ADANIPORTS,Mar 2020,Shareholder Returns,6653.0,111.87,6.31
ADANIPORTS,Mar 2021,Mixed,-6508.0,-74.91,112.06
ADANIPORTS,Mar 2022,Shareholder Returns,4927.0,51.71,32.09
ADANIPORTS,Mar 2023,Shareholder Returns,-4816.0,-43.99,80.16
ADANIPORTS,Mar 2024,Shareholder Returns,8250.0,52.92,25.34
ADANIPOWER,Mar 2013,Mixed,-1063.0,-110.73,60.73
ADANIPOWER,Mar 2014,Mixed,-1462.0,-31.83,30.66
ADANIPOWER,Mar 2015,Reinvestor,1087.0,23.24,25.35
ADANIPOWER,Mar 2016,Reinvestor,2565.0,29.14,10.61
ADANIPOWER,Mar 2017,Reinvestor,3513.0,58.75,5.36
ADANIPOWER,Mar 2018,Reinvestor,4581.0,84.27,2.56
ADANIPOWER,Mar 2019,Reinvestor,4626.0,92.84,4.12
ADANIPOWER,Mar 2020,Reinvestor,3294.0,57.45,8.7
ADANIPOWER,Mar 2021,Reinvestor,4826.0,55.55,8.34
ADANIPOWER,Mar 2022,Liquidating Assets,11007.0,111.4,2.79
ADANIPOWER,Mar 2023,Liquidating Assets,9976.0,98.81,3.98
ADANIPOWER,Mar 2024,Liquidating Assets,17651.0,96.83,6.91
AMBUJACEM,Mar 2024,Mixed,-3295.0,-51.48,26.96
APOLLOHOSP,Mar 2013,Mixed,-290.0,-47.39,19.45
APOLLOHOSP,Mar 2014,Shareholder Returns,17.0,2.51,8.17
APOLLOHOSP,Mar 2015,Mixed,-289.0,-39.21,14.8
APOLLOHOSP,Mar 2016,Mixed,-291.0,-42.54,14.44
APOLLOHOSP,Mar 2017,Mixed,-529.0,-72.07,15.88
APOLLOHOSP,Mar 2018,Shareholder Returns,132.0,16.48,4.91
APOLLOHOSP,Mar 2019,Shareholder Returns,194.0,18.13,7.39
APOLLOHOSP,Mar 2020,Shareholder Returns,1004.0,63.1,2.57
APOLLOHOSP,Mar 2021,Shareholder Returns,385.0,33.77,8.33
APOLLOHOSP,Mar 2022,Shareholder Returns,949.0,43.35,5.09
APOLLOHOSP,Mar 2023,Shareholder Returns,520.0,25.18,5.16
APOLLOHOSP,Mar 2024,Shareholder Returns,383.0,16.0,8.06
ASIANPAINT,Mar 2013,Reinvestor,724.0,41.68,4.41
ASIANPAINT,Mar 2014,Reinvestor,816.0,40.72,4.8
ASIANPAINT,Mar 2015,Reinvestor,723.0,32.23,3.42
