company_id,metric_type,raw_text,reason
SBILIFE,compounded_sales_growth,TTM:            43%,UNMATCHED_PATTERN: 'TTM:            43%'
SBILIFE,compounded_profit_growth,TTM:                 18%,UNMATCHED_PATTERN: 'TTM:                 18%'
TCS,compounded_sales_growth,TTM:            5%             ,UNMATCHED_PATTERN: 'TTM:            5%'
TCS,compounded_profit_growth,TTM:                 8%,UNMATCHED_PATTERN: 'TTM:                 8%'
WIPRO,compounded_sales_growth,TTM:           -3%,UNMATCHED_PATTERN: 'TTM:           -3%'
WIPRO,compounded_profit_growth,TTM:                 1%,UNMATCHED_PATTERN: 'TTM:                 1%'
HDFCBANK,compounded_sales_growth,TTM:            47%,UNMATCHED_PATTERN: 'TTM:            47%'
HDFCBANK,compounded_profit_growth,TTM:                27%,UNMATCHED_PATTERN: 'TTM:                27%'
INFY,compounded_sales_growth,TTM:            3%,UNMATCHED_PATTERN: 'TTM:            3%'
INFY,compounded_profit_growth,TTM:                 8%,UNMATCHED_PATTERN: 'TTM:                 8%'
