kpi,p10,p25,p50,p75,p90,mean,std
return_on_equity_pct,8.39,11.73,15.79,25.93,47.97,22.97,21.32
return_on_capital_employed_pct,4.97,14.66,21.74,36.32,127.57,192.58,815.09
debt_to_equity,0.01,0.07,0.48,1.64,6.45,1.71,2.86
interest_coverage,1.67,3.25,11.36,57.97,194.24,129.54,493.86
operating_profit_margin_pct,10.14,17.45,26.77,41.75,84.0,35.44,26.76
net_profit_margin_pct,4.6,7.2,14.13,20.4,29.38,20.21,45.93
revenue_cagr_5yr,6.48,8.46,11.84,17.31,20.96,12.93,7.29
pat_cagr_5yr,4.12,9.32,16.13,23.62,38.62,20.5,21.03
cfo_quality_score,-2.36,0.71,1.13,2.03,4.83,1.75,7.84
asset_turnover,0.07,0.21,0.64,1.14,1.67,3.57,16.02
