company_name,book_value
Shree Cement Ltd,5787.0
Bajaj Holdings & Investment Ltd,5375.0
Bosch Ltd,4319.0
Info Edge (India) Ltd,3225.0
Maruti Suzuki India Ltd,2835.0
Abbott India Ltd,1657.0
Grasim Industries Ltd,1411.0
Bajaj Finance Ltd,1402.0
Bajaj Auto Ltd,1109.0
"Hero MotoCorp Ltd
",951.0
IndusInd Bank Ltd,807.0
LTIMindtree Ltd,711.0
Eicher Motors Ltd,693.0
"Kotak Mahindra Bank Ltd
",654.0
Larsen & Toubro Ltd,635.0
"Reliance Industries Ltd
",606.0
HDFC Bank Ltd,601.0
"Mahindra & Mahindra Ltd
",567.0
"Apollo Hospitals
Chain of Indian private hospitals",522.0
Divis Laboratories Ltd,517.0
Axis Bank Ltd,509.0
Hindustan Aeronautics Ltd,465.0
State Bank of India,465.0
Jindal Steel & Power Ltd,464.0
Siemens Ltd,431.0
Bajaj Finserv Ltd,428.0
Dr Reddys Laboratories Ltd,369.0
ICICI Bank Ltd,365.0
Adani Enterprises Ltd,363.0
"Cipla Ltd
",351.0
Power Finance Corporation Ltd,333.0
JSW Steel Ltd,326.0
Avenue Supermarts Ltd,309.0
Sun Pharmaceuticals Industries Ltd,288.0
Tata Consultancy Services Ltd,281.0
REC Ltd,279.0
"Shriram Finance Ltd
",279.0
ICICI Lombard General Insurance Company Ltd,275.0
Oil & Natural Gas Corpn Ltd,275.0
Tata Motors Ltd,275.0
Tech Mahindra Ltd,270.0
"Adani Ports & Special Economic Zone Ltd
",265.0
Cholamandalam Investment & Finance Company Ltd,255.0
HCL Technologies Ltd,254.0
Bank of Baroda,231.0
Torrent Pharmaceuticals Ltd,222.0
Infosys Ltd,218.0
"Hindustan Unilever Ltd
",216.0
Jio Financial Services Ltd,216.0
Ambuja Cements Ltd,205.0
Tata Consumer Products Ltd,193.0
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0
Macrotech Developers Ltd,183.0
Bharat Petroleum Corporation Ltd,178.0
Adani Energy Solutions Ltd,175.0
NTPC Ltd,174.0
Pidilite Industries Ltd,171.0
DLF Ltd,163.0
SBI Life Insurance Company Ltd,162.0
JSW Energy Ltd,160.0
Coal India Ltd,156.0
Life Insurance Corporation of India,154.0
Bharti Airtel Ltd,153.0
Hindalco Industries Ltd,153.0
Adani Power Ltd,145.0
Britannia Industries Ltd,133.0
Trent Ltd,132.0
"Indian Oil Corporation
",129.0
GAIL (India) Ltd,127.0
Havells India Ltd,124.0
Godrej Consumer Products Ltd,119.0
Punjab National Bank,110.0
"Titan Company Ltd
",110.0
"Tata Power Company Ltd
",105.0
Canara Bank,102.0
Power Grid Corporation of India Ltd,99.0
Interglobe Aviation Ltd,97.0
ICICI Prudential Life Insurance Company Ltd,80.0
HDFC Life Insurance Company Ltd,73.0
"Tata Steel Ltd
",72.0
"Bharat Heavy Electricals Limited
",70.0
Adani Green Energy Ltd,67.0
"ITC Ltd
",60.0
Dabur India Ltd,59.0
Samvardhana Motherson International Ltd,46.0
Indian Railway Catering & Tourism Corporation Ltd,44.0
Nestle India Ltd,41.0
"NHPC Ltd
",40.0
Indian Railway Finance Corporation Ltd,39.0
Adani Total Gas Ltd,36.0
Bharat Electronics Ltd,24.0
TVS Motor Company Ltd,
