company_id,year,net_cash_flow
HDFCBANK,Mar 2024,31687.0
RELIANCE,Mar 2024,28561.0
ICICIBANK,Mar 2024,26312.0
KOTAKBANK,Mar 2024,22281.0
CANBK,Mar 2024,9462.0
SBIN,Mar 2024,8260.0
TATAMOTORS,Mar 2024,8128.0
AXISBANK,Mar 2024,7785.0
SUNPHARMA,Mar 2024,4662.0
BAJAJFINSV,Mar 2024,3075.0
INFY,Mar 2024,2613.0
BAJFINANCE,Mar 2024,2484.0
AMBUJACEM,Mar 2024,2394.0
MOTHERSON,Mar 2024,2205.0
TCS,Mar 2024,1893.0
DLF,Mar 2024,1186.0
M&M,Mar 2024,1037.0
GAIL,Mar 2024,902.0
MARUTI,Mar 2024,874.0
ADANIPOWER,Mar 2024,787.0
SIEMENS,Sep 2024,644.0
ADANIGREEN,Mar 2024,606.0
ASIANPAINT,Mar 2024,573.0
ABB,Mar 2024,551.0
ADANIENSOL,Mar 2024,551.0
LODHA,Mar 2024,516.0
TVSMOTOR,Mar 2024,505.0
ADANIPORTS,Mar 2024,450.0
ADANIENT,Mar 2024,424.0
NTPC,Mar 2024,398.0
NHPC,Mar 2024,388.0
HEROMOTOCO,Mar 2024,379.0
HCLTECH,Mar 2024,376.0
TORNTPHARM,Mar 2024,327.0
BAJAJ-AUTO,Mar 2024,319.0
TECHM,Mar 2024,291.0
TATACONSUM,Mar 2024,281.0
BHEL,Mar 2024,274.0
IRCTC,Mar 2024,262.0
IOC,Mar 2024,250.0
SHREECEM,Mar 2024,220.0
BRITANNIA,Mar 2024,219.0
PIDILITIND,Mar 2024,212.0
TRENT,Mar 2024,211.0
DIVISLAB,Mar 2024,193.0
ITC,Mar 2024,191.0
TITAN,Mar 2024,177.0
DRREDDY,Mar 2024,133.0
ICICIGI,Mar 2024,131.0
DMART,Mar 2024,130.0
HINDUNILVR,Mar 2024,111.0
BOSCHLTD,Mar 2024,84.0
GRASIM,Mar 2024,75.0
APOLLOHOSP,Mar 2024,72.0
EICHERMOT,Mar 2024,45.0
GODREJCP,Mar 2024,41.0
RECLTD,Mar 2024,34.0
PFC,Mar 2024,32.0
BHARTIARTL,Mar 2024,31.0
ICICIPRULI,Mar 2024,17.0
BAJAJHLDNG,Mar 2024,14.0
JIOFIN,Mar 2024,11.0
BPCL,Mar 2024,-12.0
NAUKRI,Mar 2024,-29.0
CIPLA,Mar 2024,-49.0
CHOLAFIN,Mar 2024,-66.0
DABUR,Mar 2024,-119.0
IRFC,Mar 2024,-140.0
HAL,Mar 2024,-185.0
NESTLEIND,Mar 2024,-198.0
HAVELLS,Mar 2024,-199.0
COALINDIA,Mar 2024,-282.0
JSWENERGY,Mar 2024,-289.0
LTIM,Mar 2024,-518.0
INDIGO,Mar 2024,-555.0
TATAPOWER,Mar 2024,-928.0
JINDALSTEL,Mar 2024,-955.0
HINDALCO,Mar 2024,-1028.0
POWERGRID,Mar 2024,-1728.0
BANKBARODA,Mar 2024,-2084.0
SBILIFE,Mar 2024,-2327.0
BEL,Mar 2024,-2739.0
HDFCLIFE,Mar 2024,-3296.0
LICI,Mar 2024,-3574.0
ONGC,Mar 2024,-3591.0
SHRIRAMFIN,Mar 2024,-3750.0
LT,Mar 2024,-4968.0
TATASTEEL,Mar 2024,-5049.0
JSWSTEEL,Mar 2024,-7394.0
INDUSINDBK,Mar 2024,-19710.0
PNB,Mar 2024,-25928.0
