company_id,year,net_profit
RELIANCE,TTM,79941.0
SBIN,TTM,74461.0
HDFCBANK,TTM,72168.0
ICICIBANK,TTM,52416.0
TCS,TTM,49006.0
ONGC,TTM,42320.0
LICI,TTM,41468.0
COALINDIA,TTM,34350.0
TATAMOTORS,TTM,33816.0
PFC,TTM,28248.0
INFY,TTM,27687.0
AXISBANK,TTM,26386.0
NTPC,TTM,22546.0
KOTAKBANK,TTM,22530.0
ITC,TTM,20829.0
BANKBARODA,TTM,20144.0
HCLTECH,TTM,17085.0
CANBK,TTM,16571.0
BAJAJFINSV,TTM,16520.0
LT,TTM,16150.0
POWERGRID,TTM,15712.0
BAJFINANCE,TTM,15389.0
RECLTD,TTM,14885.0
PNB,TTM,14535.0
MARUTI,TTM,14021.0
BHARTIARTL,TTM,13816.0
BPCL,TTM,13734.0
M&M,TTM,13009.0
ADANIPOWER,TTM,12686.0
HINDALCO,TTM,12488.0
GAIL,TTM,11541.0
SUNPHARMA,TTM,11117.0
IOC,TTM,10909.0
HINDUNILVR,TTM,10757.0
ADANIPORTS,TTM,9743.0
SHRIRAMFIN,TTM,9454.0
GRASIM,TTM,8693.0
HAL,TTM,8472.0
INDUSINDBK,TTM,8122.0
BAJAJHLDNG,TTM,7486.0
BAJAJ-AUTO,TTM,7371.0
IRFC,TTM,6537.0
ADANIENT,TTM,6086.0
INDIGO,TTM,6074.0
DRREDDY,TTM,5448.0
JINDALSTEL,TTM,5060.0
CIPLA,TTM,4987.0
ASIANPAINT,TTM,4631.0
LTIM,TTM,4574.0
BEL,TTM,4541.0
TATAPOWER,TTM,4403.0
EICHERMOT,TTM,4268.0
HEROMOTOCO,TTM,4133.0
MOTHERSON,TTM,4123.0
DLF,TTM,4004.0
AMBUJACEM,TTM,3871.0
CHOLAFIN,TTM,3852.0
TECHM,TTM,3775.0
NHPC,TTM,3417.0
NESTLEIND,TTM,3323.0
JSWSTEEL,TTM,3312.0
TITAN,TTM,3243.0
DMART,TTM,2720.0
SIEMENS,Sep 2024,2718.0
TATASTEEL,TTM,2527.0
ICICIGI,TTM,2518.0
LODHA,TTM,2511.0
SBILIFE,TTM,2411.0
BRITANNIA,TTM,2129.0
TVSMOTOR,TTM,2094.0
BOSCHLTD,TTM,2084.0
JSWENERGY,TTM,1988.0
PIDILITIND,TTM,1973.0
ADANIGREEN,TTM,1928.0
TORNTPHARM,TTM,1862.0
DIVISLAB,TTM,1836.0
TRENT,TTM,1809.0
DABUR,TTM,1760.0
HDFCLIFE,TTM,1747.0
SHREECEM,TTM,1733.0
JIOFIN,TTM,1607.0
HAVELLS,TTM,1400.0
ABB,TTM,1285.0
APOLLOHOSP,TTM,1224.0
IRCTC,TTM,1200.0
TATACONSUM,TTM,1170.0
ICICIPRULI,TTM,974.0
ATGL,TTM,668.0
ADANIENSOL,TTM,589.0
NAUKRI,TTM,551.0
BHEL,TTM,445.0
GODREJCP,TTM,-453.0
