company_id,year,sales
RELIANCE,TTM,939838.0
LICI,TTM,896106.0
IOC,TTM,761485.0
ONGC,TTM,658694.0
SBIN,TTM,469625.0
BPCL,TTM,445601.0
TATAMOTORS,TTM,440061.0
HDFCBANK,TTM,329022.0
TCS,TTM,252082.0
LT,TTM,238881.0
HINDALCO,TTM,224018.0
TATASTEEL,TTM,221012.0
NTPC,TTM,185892.0
ICICIBANK,TTM,180551.0
JSWSTEEL,TTM,170274.0
INFY,TTM,159988.0
BHARTIARTL,TTM,155478.0
M&M,TTM,145893.0
MARUTI,TTM,145213.0
COALINDIA,TTM,140328.0
GRASIM,TTM,137116.0
GAIL,TTM,136081.0
SBILIFE,TTM,130073.0
BAJAJFINSV,TTM,126263.0
BANKBARODA,TTM,124144.0
AXISBANK,TTM,120659.0
CANBK,TTM,119392.0
PNB,TTM,116126.0
HCLTECH,TTM,115308.0
MOTHERSON,TTM,109382.0
ADANIENT,TTM,102311.0
HDFCLIFE,TTM,100772.0
PFC,TTM,98152.0
ICICIPRULI,TTM,77572.0
INDIGO,TTM,76476.0
ITC,TTM,75135.0
KOTAKBANK,TTM,64053.0
TATAPOWER,TTM,63489.0
HINDUNILVR,TTM,62661.0
BAJFINANCE,TTM,62279.0
DMART,TTM,57213.0
ADANIPOWER,TTM,54650.0
TITAN,TTM,54458.0
TECHM,TTM,52476.0
RECLTD,TTM,51490.0
SUNPHARMA,TTM,50308.0
JINDALSTEL,TTM,50019.0
INDUSINDBK,TTM,49004.0
BAJAJ-AUTO,TTM,48900.0
POWERGRID,TTM,45812.0
TVSMOTOR,TTM,42886.0
HEROMOTOCO,TTM,40098.0
SHRIRAMFIN,TTM,39864.0
LTIM,TTM,37129.0
ASIANPAINT,TTM,34831.0
AMBUJACEM,TTM,32850.0
DRREDDY,TTM,31229.0
HAL,TTM,31154.0
ADANIPORTS,TTM,28443.0
CIPLA,TTM,26981.0
IRFC,TTM,26902.0
BHEL,TTM,25833.0
ICICIGI,TTM,23301.0
CHOLAFIN,TTM,22502.0
SIEMENS,Sep 2024,22240.0
ADANIENSOL,TTM,22099.0
BEL,TTM,21575.0
HAVELLS,TTM,20677.0
APOLLOHOSP,TTM,20469.0
SHREECEM,TTM,19802.0
NESTLEIND,TTM,19786.0
BRITANNIA,TTM,17244.0
BOSCHLTD,TTM,17150.0
EICHERMOT,TTM,17091.0
TATACONSUM,TTM,16297.0
TRENT,TTM,15025.0
GODREJCP,TTM,14152.0
LODHA,TTM,13574.0
PIDILITIND,TTM,12901.0
DABUR,TTM,12447.0
JSWENERGY,TTM,11416.0
TORNTPHARM,TTM,11302.0
ADANIGREEN,TTM,10782.0
NHPC,TTM,9690.0
DIVISLAB,TTM,8614.0
DLF,TTM,7001.0
ABB,TTM,6066.0
ATGL,TTM,4826.0
IRCTC,TTM,4455.0
NAUKRI,TTM,2662.0
JIOFIN,TTM,1968.0
BAJAJHLDNG,TTM,1733.0
