company_id,compounded_profit_growth
HDFCBANK,TTM:                27%
INFY,TTM:                 8%
TCS,TTM:                 8%
SBILIFE,TTM:                 18%
HDFCBANK,5 Years:           23%
INFY,5 Years:           11%
TCS,5 Years:            8%
SBILIFE,5 Years:            6%
HDFCBANK,3 Years:           26%
INFY,3 Years:           10%
SBILIFE,3 Years:            9%
TCS,3 Years:            12%
HDFCBANK,10 Years: 22%
INFY,10 Years:         9%
SBILIFE,10 Years:          9%
TCS,10 Years:          9%
