company_id,stock_price_cagr
HDFCBANK,10 Years:     15%
SBILIFE,    10 Years:      9%
TCS,    10 Years:      14%
SBILIFE,     5 Years:       8%
SBILIFE,     3 Years:       7%
INFY,     10 Years:     15%
SBILIFE,     1 Year:         -2%
TCS,      5 Years:      16%
HDFCBANK,      5 Years:       8%
TCS,      3 Years:      8%
HDFCBANK,      3 Years:       8%
TCS,      1 Year:       16%
HDFCBANK,      1 Year:        13%
INFY,       5 Years:     22%
INFY,       3 Years:     4%
INFY,       1 Year:       27%
