company_name,roe_percentage
Nestle India Ltd,135.61
Life Insurance Corporation of India,63.61
Adani Power Ltd,57.1
Britannia Industries Ltd,57.1
Coal India Ltd,52.0
Tata Motors Ltd,49.4
Bharat Petroleum Corporation Ltd,41.9
Indian Railway Catering & Tourism Corporation Ltd,40.4
Abbott India Ltd,34.9
"Titan Company Ltd
",32.9
Infosys Ltd,31.8
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",31.45
"ITC Ltd
",29.47
Hindustan Aeronautics Ltd,28.9
Trent Ltd,27.2
Bajaj Auto Ltd,26.5
Bharat Electronics Ltd,26.3
LTIMindtree Ltd,26.04
"Indian Oil Corporation
",25.44
Eicher Motors Ltd,24.2
Torrent Pharmaceuticals Ltd,24.2
HCL Technologies Ltd,23.3
Pidilite Industries Ltd,22.8
REC Ltd,22.2
Bajaj Finance Ltd,22.1
"Hero MotoCorp Ltd
",22.0
Dr Reddys Laboratories Ltd,21.4
Adani Total Gas Ltd,20.5
Cholamandalam Investment & Finance Company Ltd,20.2
"Hindustan Unilever Ltd
",20.2
Power Finance Corporation Ltd,19.49
Dabur India Ltd,19.2
Siemens Ltd,19.1
Power Grid Corporation of India Ltd,19.0
ICICI Bank Ltd,18.8
Axis Bank Ltd,18.4
"Adani Ports & Special Economic Zone Ltd
",18.1
Havells India Ltd,18.0
"Mahindra & Mahindra Ltd
",17.99
Canara Bank,17.9
State Bank of India,17.3
HDFC Bank Ltd,17.1
ICICI Lombard General Insurance Company Ltd,17.0
"Cipla Ltd
",16.8
Bank of Baroda,16.7
Sun Pharmaceuticals Industries Ltd,16.7
Bosch Ltd,16.0
"Shriram Finance Ltd
",15.9
Maruti Suzuki India Ltd,15.75
IndusInd Bank Ltd,15.2
"Kotak Mahindra Bank Ltd
",15.1
Bharti Airtel Ltd,14.9
Bajaj Holdings & Investment Ltd,14.8
Adani Green Energy Ltd,14.7
Avenue Supermarts Ltd,14.5
Oil & Natural Gas Corpn Ltd,14.32
Jindal Steel & Power Ltd,14.1
GAIL (India) Ltd,14.0
"Apollo Hospitals
Chain of Indian private hospitals",13.81
Indian Railway Finance Corporation Ltd,13.7
Adani Enterprises Ltd,13.64
NTPC Ltd,12.52
Divis Laboratories Ltd,12.2
Shree Cement Ltd,12.2
SBI Life Insurance Company Ltd,12.0
Samvardhana Motherson International Ltd,11.8
Bajaj Finserv Ltd,11.72
JSW Steel Ltd,11.66
HDFC Life Insurance Company Ltd,11.4
"Tata Power Company Ltd
",11.3
Macrotech Developers Ltd,10.7
Larsen & Toubro Ltd,10.49
Hindalco Industries Ltd,10.2
"NHPC Ltd
",9.61
"Reliance Industries Ltd
",9.25
Ambuja Cements Ltd,9.24
Punjab National Bank,8.7
Tech Mahindra Ltd,8.63
Adani Energy Solutions Ltd,8.59
JSW Energy Ltd,8.4
Tata Consumer Products Ltd,8.32
ICICI Prudential Life Insurance Company Ltd,8.07
DLF Ltd,6.95
Grasim Industries Ltd,6.9
Godrej Consumer Products Ltd,6.77
"Tata Steel Ltd
",6.55
Info Edge (India) Ltd,2.44
Jio Financial Services Ltd,1.82
"Bharat Heavy Electricals Limited
",1.05
Tata Consultancy Services Ltd,0.52
Interglobe Aviation Ltd,
TVS Motor Company Ltd,
